Order_ID,Order_Date,City,Product,Qty,Revenue,Cost,Status,Delivery_Days
ORD-100000,2025-05-04,Tanger,Chaise Gaming Drift,4,8800,6160.0,Pending,12
ORD-100001,2025-09-13,Oujda,Robot Aspirateur Xiaomi,1,3200,2240.0,Delivered,6
ORD-100002,2025-04-18,Marrakech,Air Fryer Ninja,3,5400,3780.0,Delivered,15
ORD-100003,2025-01-23,Agadir,Trottinette Électrique Xiaomi,3,12600,8820.0,Cancelled,4
ORD-100004,2025-12-20,Marrakech,Xbox Series X,2,11600,8119.999999999999,Delivered,13
ORD-100005,2025-08-28,Agadir,iPhone 15 Pro,4,54000,37800.0,Delivered,11
ORD-100006,2025-04-17,Agadir,Drone DJI Mini,2,12000,8400.0,Delivered,7
ORD-100007,2025-04-16,Agadir,Disque Dur Externe 1TB,4,2200,1540.0,Pending,12
ORD-100008,2025-02-22,Agadir,Chaise Gaming Drift,1,2200,1540.0,Delivered,8
ORD-100009,2025-05-11,Rabat,TV Samsung 55' 4K,4,22000,15399.999999999998,Delivered,11
ORD-100010,2025-04-01,Marrakech,Machine à Laver Samsung,4,18000,12600.0,Delivered,7
ORD-100011,2025-07-19,Fes,Blender Hofmann,1,600,420.0,Delivered,14
ORD-100012,2025-08-06,Oujda,Drone DJI Mini,2,12000,8400.0,Delivered,5
ORD-100013,2025-02-15,Oujda,Apple Watch Series 9,3,13500,9450.0,Delivered,9
ORD-100014,2025-01-30,Rabat,iPad Air,2,15000,10500.0,Cancelled,13
ORD-100015,2025-02-11,Tanger,Chaise Gaming Drift,5,11000,7700.0,Delivered,12
ORD-100016,2025-12-20,Fes,Sony PlayStation 5,1,6500,4550.0,Cancelled,6
ORD-100017,2025-12-21,Rabat,AirPods Pro 2,2,5600,3919.9999999999995,Returned,6
ORD-100018,2025-03-31,Marrakech,Blender Hofmann,3,1800,1260.0,Cancelled,10
ORD-100019,2025-09-11,Rabat,Chaise Gaming Drift,2,4400,3080.0,Delivered,1
ORD-100020,2025-07-17,Tanger,Drone DJI Mini,3,18000,12600.0,Returned,15
ORD-100021,2025-10-01,Tanger,Casque Gamer HyperX,5,4500,3150.0,Delivered,2
ORD-100022,2025-01-05,Agadir,Machine à Laver Samsung,5,22500,15750.0,Returned,15
ORD-100023,2025-07-02,Agadir,Machine à Laver Samsung,1,4500,3150.0,Cancelled,3
ORD-100024,2025-03-01,Oujda,Casque Gamer HyperX,4,3600,2520.0,Cancelled,14
ORD-100025,2025-03-12,Marrakech,Réfrigérateur LG,3,24000,16800.0,Delivered,7
ORD-100026,2025-03-24,Agadir,Laptop Dell XPS,5,90000,63000.0,Returned,13
ORD-100027,2025-12-09,Casablanca,Machine à Laver Samsung,4,18000,12600.0,Delivered,3
ORD-100028,2025-07-07,Tanger,Xbox Series X,3,17400,12179.999999999998,Delivered,7
ORD-100029,2025-04-18,Tanger,iPhone 15 Pro,1,13500,9450.0,Cancelled,11
ORD-100030,2025-03-17,Fes,Réfrigérateur LG,2,16000,11200.0,Cancelled,10
ORD-100031,2025-01-12,Rabat,Sony PlayStation 5,3,19500,13650.0,Pending,10
ORD-100032,2025-11-12,Fes,iPad Air,4,30000,21000.0,Returned,12
ORD-100033,2025-01-12,Agadir,Disque Dur Externe 1TB,3,1650,1155.0,Returned,2
